Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_middle_link_2,0.0313933781819635,-0.00152877026923516,-4.42504304134193E-06,0,0,0,0.0304803814022287,8.57196116698003E-07,-2.59851232334663E-07,-2.94678362287514E-09,4.53980218087147E-06,-9.71902264505153E-11,4.54507233131675E-06,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_middle_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_middle_link_2.STL,,指根弯曲固定件左1-3;指根弯曲固定件右1-3;指根指肚7.28可动-3;指根指背7.28step-3;电机固定环13版本右-3;电机固定环13版本左-3;13直径关节模组-10,middle_mcp坐标系,middle_mcp轴,right_middle_joint_2,revolute,0.014,-2.9024E-05,0,1.5708,0,-0.0020732,right_middle_link_1,0,0,1,0,0,0,1.5708,,,,,,,,
right_middle_link_3,0.012179937973861,-0.00381320273518451,-0.00102839797795001,0,0,0,0.00393370033061842,1.55586180441927E-07,1.07859834822883E-09,-1.30280588751334E-08,3.36523118477632E-07,-4.65730221391952E-09,2.96577756975781E-07,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_middle_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_middle_link_3.STL,,指中肚7.25（5）-3;指中摆动固定右1-3;指尖轴固定1-3;指中背可能非破面-3;紧配销-3,middle_dip坐标系,middle_dip轴,right_middle_joint_3,revolute,0.0489,0.00312,0,0,0,0,right_middle_link_2,0,0,1,0,0,0,1.5708,,,,,,,,
right_middle_link_4,0.00932716914952836,-0.00406005253689868,7.09260383274651E-05,0,0,0,0.00496625793579307,1.25582544545842E-07,-1.77670288996541E-08,6.25900572778162E-09,4.48881211208541E-07,1.93573613139696E-09,3.97313666721177E-07,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_middle_link_4.STL,0.729411764705882,0.552941176470588,0.145098039215686,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_middle_link_4.STL,,指尖肚可动-3;指尖1-3;指尖背-3,middle_pip坐标系,middle_pip轴,right_middle_joint_4,revolute,0.03,0,0,0,0,0,right_middle_link_3,0,0,1,0,0,0,1.5708,,,,,,,,
right_ring_link_1,0.000743908629034874,-5.55341323327761E-06,0.00357430253047761,0,0,0,0.0288509871302187,7.94394443808429E-07,-2.85303028743531E-09,2.01395106272607E-07,4.10768682102316E-06,1.95900656908821E-10,4.06857220729639E-06,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_ring_link_1.STL,1,1,1,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_ring_link_1.STL,,13直径关节模组-9;侧摆固定件变窄版13版本-2,ring_mcp_roll坐标系,ring_mcp_roll轴,right_ring_joint_1,revolute,-0.0016678,-0.013175,0.12959,-1.5708,-1.5705,-1.5708,right_base_link,0,0,1,0,0,-0.3491,0.6109,,,,,,,,
right_ring_link_2,0.0313933776378529,-0.00152877020638439,-4.42497851214224E-06,0,0,0,0.0304803820111361,8.57196188234395E-07,-2.59851218882813E-07,-2.94678446030431E-09,4.53980225696285E-06,-9.722520152687E-11,4.54507240297751E-06,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_ring_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_ring_link_2.STL,,指根指肚7.28可动-2;指根弯曲固定件左1-2;指根弯曲固定件右1-2;指根指背7.28step-2;电机固定环13版本右-2;电机固定环13版本左-2;13直径关节模组-8,ring_mcp坐标系,ring_mcp轴,right_ring_joint_2,revolute,0.014,0,0,1.5708,0,0,right_ring_link_1,0,0,1,0,0,0,1.5708,,,,,,,,
right_ring_link_3,0.012179938765627,-0.00381320056058107,-0.00102839749609262,0,0,0,0.00393370099614391,1.55586198492514E-07,1.07859262741576E-09,-1.30280443408179E-08,3.36523136807383E-07,-4.65730917819106E-09,2.96577796800779E-07,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_ring_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_ring_link_3.STL,,指中肚7.25（5）-2;指中背可能非破面-2;指中摆动固定右1-2;指尖轴固定1-2;紧配销-2,ring_dip坐标系,ring_dip轴,right_ring_joint_3,revolute,0.0489,0.00312,0,0,0,0,right_ring_link_2,0,0,1,0,0,0,1.5708,,,,,,,,
right_ring_link_4,0.00932716886256235,-0.00406005222329535,7.09260613699393E-05,0,0,0,0.004966258089651,1.25582530969287E-07,-1.77670214418348E-08,6.25902922723865E-09,4.48881221818301E-07,1.93572064652879E-09,3.97313696483828E-07,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_ring_link_4.STL,0.729411764705882,0.552941176470588,0.145098039215686,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_ring_link_4.STL,,指尖肚可动-2;指尖1-2;指尖背-2,ring_pip坐标系,ring_pip轴,right_ring_joint_4,revolute,0.03,0,0,0,0,0,right_ring_link_3,0,0,1,0,0,0,1.5708,,,,,,,,
right_little_link_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_little_link_1.STL,1,1,1,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_little_link_1.STL,,侧摆固定件变窄版13版本-1;13直径关节模组-6,small_mcp_roll坐标系,small_mcp_roll轴,right_little_joint_1,revolute,-0.0016678,-0.037584,0.12258,-1.5708,-1.5705,-1.5708,right_base_link,0,0,1,0,0,0,0.6981,,,,,,,,
right_little_link_2,0.0313933781817062,-0.0015287702708865,-4.42504300204177E-06,0,0,0,0.0304803814066348,8.57196116611028E-07,-2.59851232095819E-07,-2.94678364697953E-09,4.53980218145404E-06,-9.71903461424589E-11,4.54507233195309E-06,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_little_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_little_link_2.STL,,指根弯曲固定件左1-1;指根弯曲固定件右1-1;指根指肚7.28可动-1;指根指背7.28step-1;13直径关节模组-7;电机固定环13版本左-1;电机固定环13版本右-1,small_mcp坐标系,small_mcp轴,right_little_joint_2,revolute,0.014,-2.9024E-05,0,1.5708,0,-0.0020732,right_little_link_1,0,0,1,0,0,0,1.5708,,,,,,,,
right_little_link_3,0.0121799378841558,-0.00381320250691307,-0.0010283978953143,0,0,0,0.00393370038722117,1.55586179503933E-07,1.07860246781737E-09,-1.30280569047199E-08,3.3652312244091E-07,-4.65730518076022E-09,2.96577758582878E-07,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_little_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_little_link_3.STL,,指中肚7.25（5）-1;指中摆动固定右1-1;指尖轴固定1-1;指中背可能非破面-1;紧配销-1,small_dip坐标系,small_dip轴,right_little_joint_3,revolute,0.0489,0.00312,0,0,0,0,right_little_link_2,0,0,1,0,0,0,1.5708,,,,,,,,
right_little_link_4,0.00932716914948375,-0.00406005253700263,7.09260383258484E-05,0,0,0,0.00496625793579298,1.25582544545486E-07,-1.77670288961047E-08,6.25900572780279E-09,4.48881211208927E-07,1.93573613132852E-09,3.97313666721212E-07,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_little_link_4.STL,0.729411764705882,0.552941176470588,0.145098039215686,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_little_link_4.STL,,指尖肚可动-1;指尖背-1;指尖1-1,small_pip坐标系,small_pip轴,right_little_joint_4,revolute,0.03,0,0,0,0,0,right_little_link_3,0,0,1,0,0,0,1.5708,,,,,,,,
